@relation /home/othavioaset_perfeito_keel
@attribute EMA_3 real[-0.01,1.01]
@attribute SMA_3 real[-0.01,1.01]
@attribute ADXR real[-0.01,1.01]
@attribute Bollinger_Norm real[-0.01,1.01]
@attribute EMA_5 real[-0.01,1.01]
@attribute SMA_5 real[-0.01,1.01]
@attribute std_close3 real[-0.01,1.01]
@attribute std_open3 real[-0.01,1.01]
@attribute trend{0,1}
@inputs EMA_3, SMA_3, ADXR, Bollinger_Norm, EMA_5, SMA_5, std_close3, std_open3
@outputs trend
@data
0.44848, 0.44222, 0.38119, 0.47463, 0.45733, 0.46003, 0.0677, 0.08674, 0
0.45387, 0.44409, 0.38351, 0.47262, 0.46339, 0.46154, 0.03737, 0.03638, 1
0.45472, 0.44139, 0.38736, 0.47598, 0.45885, 0.44898, 0.0606, 0.03926, 0
0.44331, 0.43518, 0.3907, 0.48366, 0.44761, 0.43819, 0.0314, 0.0309, 0
0.45032, 0.44346, 0.39264, 0.481, 0.45497, 0.44773, 0.02198, 0.0265, 0
0.44556, 0.43808, 0.39222, 0.48166, 0.45191, 0.44886, 0.02998, 0.05173, 1
0.44278, 0.43476, 0.39657, 0.47756, 0.45103, 0.44835, 0.04274, 0.0409, 0
0.44879, 0.44264, 0.38987, 0.4725, 0.45919, 0.45727, 0.07139, 0.04938, 1
0.46127, 0.44637, 0.38881, 0.47103, 0.46713, 0.45966, 0.06245, 0.10909, 1
0.46407, 0.44657, 0.37344, 0.47828, 0.46259, 0.44735, 0.14778, 0.11524, 0
0.43496, 0.42671, 0.35593, 0.48704, 0.43334, 0.41991, 0.09828, 0.11015, 0
0.42898, 0.43229, 0.33788, 0.48485, 0.43469, 0.43118, 0.13334, 0.15366, 1
0.46002, 0.45445, 0.31575, 0.47465, 0.46789, 0.46971, 0.11055, 0.04757, 1
0.45709, 0.44243, 0.2927, 0.47456, 0.46375, 0.46594, 0.03176, 0.04348, 0
0.42793, 0.4244, 0.2782, 0.47796, 0.44096, 0.44283, 0.12769, 0.09279, 1
0.48123, 0.4686, 0.25524, 0.46791, 0.48919, 0.48045, 0.13273, 0.10939, 0
0.44538, 0.42792, 0.22882, 0.47868, 0.45054, 0.4422, 0.12503, 0.11002, 1
0.45232, 0.44409, 0.20055, 0.47983, 0.45542, 0.44509, 0.02506, 0.04566, 1
0.45037, 0.44056, 0.17279, 0.48142, 0.45199, 0.43894, 0.03994, 0.03908, 1
0.47008, 0.45402, 0.15884, 0.47944, 0.46436, 0.45237, 0.15486, 0.26233, 1
0.44686, 0.43251, 0.14466, 0.48427, 0.4369, 0.42283, 0.18098, 0.24223, 1
0.43941, 0.4352, 0.13203, 0.48512, 0.43045, 0.41986, 0.06075, 0.05059, 0
0.43727, 0.43623, 0.11608, 0.48404, 0.43343, 0.43048, 0.04483, 0.05689, 0
0.4511, 0.44593, 0.11749, 0.48032, 0.45065, 0.45487, 0.04583, 0.01101, 0
0.45072, 0.44118, 0.12428, 0.47894, 0.45226, 0.45587, 0.0, 0.01541, 0
0.44958, 0.44056, 0.13281, 0.47553, 0.45269, 0.45274, 0.00598, 0.01662, 0
0.45028, 0.44139, 0.13475, 0.47371, 0.45448, 0.45111, 0.00869, 0.08479, 0
