@relation /home/othavioaset_perfeito_keel
@attribute EMA_3 real [-0.01, 1.01]
@attribute SMA_3 real [-0.01, 1.01]
@attribute ADXR real [-0.01, 1.01]
@attribute Bollinger_Norm real [-0.01, 1.01]
@attribute EMA_5 real [-0.01, 1.01]
@attribute SMA_5 real [-0.01, 1.01]
@attribute std_close3 real [-0.01, 1.01]
@attribute std_open3 real [-0.01, 1.01]
@attribute trend {0, 1}
@inputs EMA_3, SMA_3, ADXR, Bollinger_Norm, EMA_5, SMA_5, std_close3, std_open3
@outputs trend
@data
0.44326, 0.43929, 0.20042, 0.48386, 0.44693, 0.4436, 0.04837, 0.05058, 1
0.45089, 0.44139, 0.18074, 0.47197, 0.45947, 0.45573, 0.01941, 0.04052, 1
0.44002, 0.4333, 0.42208, 0.4778, 0.44916, 0.44358, 0.05385, 0.00442, 0
0.44018, 0.42774, 0.14734, 0.48611, 0.43831, 0.43169, 0.11223, 0.09607, 1
0.43755, 0.43294, 0.2307, 0.48513, 0.43725, 0.43724, 0.04484, 0.06926, 0
0.4549, 0.45073, 0.24987, 0.47155, 0.47781, 0.47815, 0.1895, 0.18694, 1
0.46329, 0.45615, 0.32051, 0.4724, 0.47028, 0.46195, 0.0817, 0.16684, 1
0.44579, 0.43758, 0.30424, 0.47458, 0.4567, 0.45396, 0.04427, 0.00984, 1
0.4462, 0.43737, 0.2029, 0.47663, 0.45465, 0.44908, 0.02324, 0.02226, 0
0.44951, 0.44118, 0.25032, 0.48382, 0.44857, 0.44062, 0.03539, 0.06741, 1
0.46094, 0.44854, 0.55163, 0.47669, 0.46253, 0.45368, 0.06505, 0.01249, 0
0.44895, 0.4435, 0.59484, 0.48218, 0.45242, 0.44705, 0.03188, 0.05575, 1
0.4487, 0.4395, 0.61323, 0.48073, 0.45289, 0.45049, 0.00884, 0.01914, 0
0.4618, 0.44603, 0.6279, 0.47041, 0.47544, 0.47528, 0.02347, 0.05287, 1
0.44398, 0.43528, 0.61226, 0.47625, 0.45427, 0.44283, 0.03176, 0.04642, 0
0.45137, 0.44392, 0.60197, 0.47481, 0.46147, 0.45254, 0.04263, 0.0449, 0
0.44748, 0.43739, 0.57409, 0.47699, 0.45504, 0.44781, 0.01962, 0.03171, 1
0.45448, 0.44287, 0.56884, 0.4783, 0.45858, 0.44985, 0.03961, 0.06295, 1
0.45209, 0.44097, 0.56178, 0.4829, 0.45404, 0.44538, 0.05109, 0.06976, 0
